1,396022
1,341116
1,618671
1,501245
1,196548
1,989300
1,53785
1,950245
1,802776
1,221318
1,126278
1,600283
2,865291
2,26833
2,627418
2,381587
2,422875
2,987874
2,978736
2,851874
2,440223
2,238486
2,196696
2,290040
3,413682
3,119739
3,898344
3,425656
3,588714
3,738571
3,816853
3,543574
3,92662
3,717813
3,18796
3,73494
4,684411
4,945005
4,44360
4,267196
4,979768
4,926934
4,360638
4,460201
4,80130
4,478454
4,181474
4,310399
5,406355
5,79308
5,936329
5,873191
5,323710
5,726227
5,501598
5,732923
5,778042
5,861520
5,868609
5,953055
6,769199
6,959735
6,89625
6,288539
6,237173
6,366976
6,823767
6,417077
6,526152
6,546321
6,791578
6,158783
7,267964
7,313975
7,13866
7,930821
7,23016
7,202618
7,599859
7,109095
7,813142
7,601096
7,101440
7,622751
8,487301
8,355600
8,564280
8,992530
8,273841
8,955251
8,692583
8,622185
8,652488
8,453772
8,6403
8,279117
9,527756
9,434509
9,704616
9,163332
9,623846
9,748860
9,178805
9,403951
9,493340
9,443546
9,196664
9,213586
10,713392
10,596496
10,62084
10,484167
10,757685
10,491572
10,493666
10,108890
10,23828
10,880524
10,844220
10,785327
